Namespace(batch_size=5, epoch=10, log_dir='./logs', lr=0.005, lr_milestion=[2, 4, 6], num_workers=2, root='./', show_interval=1, snapshot_interval=1, test_interval=2)
[epoch:0, batch:84]	 [loss:0.8927362]	 [lr:0.0050000]
[epoch:0, batch:85]	 [loss:0.9005152]	 [lr:0.0050000]
[epoch:0, batch:86]	 [loss:0.8975689]	 [lr:0.0050000]
[epoch:0, batch:87]	 [loss:0.9017435]	 [lr:0.0050000]
[epoch:0, batch:88]	 [loss:0.8987803]	 [lr:0.0050000]
[epoch:0, batch:89]	 [loss:0.8976719]	 [lr:0.0050000]
[epoch:0, batch:90]	 [loss:0.8985453]	 [lr:0.0050000]
[epoch:0, batch:91]	 [loss:0.8963443]	 [lr:0.0050000]
[epoch:0, batch:92]	 [loss:0.8999326]	 [lr:0.0050000]
[epoch:0, batch:93]	 [loss:0.9030291]	 [lr:0.0050000]
[epoch:0, batch:94]	 [loss:0.9028812]	 [lr:0.0050000]
[epoch:0, batch:95]	 [loss:0.8924393]	 [lr:0.0050000]
[epoch:0, batch:96]	 [loss:0.8903165]	 [lr:0.0050000]
[epoch:0, batch:97]	 [loss:0.8982969]	 [lr:0.0050000]
[epoch:0, batch:98]	 [loss:0.8982210]	 [lr:0.0050000]
[epoch:0, batch:99]	 [loss:0.8987426]	 [lr:0.0050000]
[epoch:0, batch:100]	 [loss:0.9048283]	 [lr:0.0050000]
[epoch:0, batch:101]	 [loss:0.8983462]	 [lr:0.0050000]
[epoch:0, batch:102]	 [loss:0.9071740]	 [lr:0.0050000]
[epoch:0, batch:103]	 [loss:0.8997092]	 [lr:0.0050000]
[epoch:0, batch:104]	 [loss:0.9012945]	 [lr:0.0050000]
[epoch:0, batch:105]	 [loss:0.8954954]	 [lr:0.0050000]
[epoch:0, batch:106]	 [loss:0.8981213]	 [lr:0.0050000]
[epoch:0, batch:107]	 [loss:0.8942242]	 [lr:0.0050000]
[epoch:0, batch:108]	 [loss:0.9072520]	 [lr:0.0050000]
[epoch:0, batch:109]	 [loss:0.8965663]	 [lr:0.0050000]
[epoch:0, batch:110]	 [loss:0.8970516]	 [lr:0.0050000]
[epoch:0, batch:111]	 [loss:0.8964850]	 [lr:0.0050000]
[epoch:0, batch:112]	 [loss:0.8967210]	 [lr:0.0050000]
[epoch:0, batch:113]	 [loss:0.9014813]	 [lr:0.0050000]
[epoch:0, batch:114]	 [loss:0.9046656]	 [lr:0.0050000]
[epoch:0, batch:115]	 [loss:0.8956812]	 [lr:0.0050000]
[epoch:0, batch:116]	 [loss:0.8983668]	 [lr:0.0050000]
[epoch:0, batch:117]	 [loss:0.8957060]	 [lr:0.0050000]
[epoch:0, batch:118]	 [loss:0.8970779]	 [lr:0.0050000]
[epoch:0, batch:119]	 [loss:0.8995723]	 [lr:0.0050000]
[epoch:0, batch:120]	 [loss:0.8945414]	 [lr:0.0050000]
[epoch:0, batch:121]	 [loss:0.9031485]	 [lr:0.0050000]
[epoch:0, batch:122]	 [loss:0.8954552]	 [lr:0.0050000]
[epoch:0, batch:123]	 [loss:0.8978403]	 [lr:0.0050000]
[epoch:0, batch:124]	 [loss:0.9014104]	 [lr:0.0050000]
[epoch:0, batch:125]	 [loss:0.8959586]	 [lr:0.0050000]
[epoch:0, batch:126]	 [loss:0.8927680]	 [lr:0.0050000]
[epoch:0, batch:127]	 [loss:0.8963054]	 [lr:0.0050000]
[epoch:0, batch:128]	 [loss:0.8931806]	 [lr:0.0050000]
[epoch:0, batch:129]	 [loss:0.8949949]	 [lr:0.0050000]
[epoch:0, batch:130]	 [loss:0.8967127]	 [lr:0.0050000]
[epoch:0, batch:131]	 [loss:0.8935254]	 [lr:0.0050000]
[epoch:0, batch:132]	 [loss:0.8920318]	 [lr:0.0050000]
[epoch:0, batch:133]	 [loss:0.8974380]	 [lr:0.0050000]
[epoch:0, batch:134]	 [loss:0.8968303]	 [lr:0.0050000]
[epoch:0, batch:135]	 [loss:0.8952826]	 [lr:0.0050000]
[epoch:0, batch:136]	 [loss:0.9054758]	 [lr:0.0050000]
[epoch:0, batch:137]	 [loss:0.8993209]	 [lr:0.0050000]
[epoch:0, batch:138]	 [loss:0.8965262]	 [lr:0.0050000]
[epoch:0, batch:139]	 [loss:0.8940588]	 [lr:0.0050000]
[epoch:0, batch:140]	 [loss:0.8961884]	 [lr:0.0050000]
[epoch:0, batch:141]	 [loss:0.8959380]	 [lr:0.0050000]
[epoch:0, batch:142]	 [loss:0.8963678]	 [lr:0.0050000]
[epoch:0, batch:143]	 [loss:0.8974231]	 [lr:0.0050000]
[epoch:0, batch:144]	 [loss:0.8930663]	 [lr:0.0050000]
[epoch:0, batch:145]	 [loss:0.8936120]	 [lr:0.0050000]
[epoch:0, batch:146]	 [loss:0.8954074]	 [lr:0.0050000]
[epoch:0, batch:147]	 [loss:0.8936731]	 [lr:0.0050000]
[epoch:0, batch:148]	 [loss:0.8968337]	 [lr:0.0050000]
[epoch:0, batch:149]	 [loss:0.9101788]	 [lr:0.0050000]
[epoch:0, batch:150]	 [loss:0.8933651]	 [lr:0.0050000]
[epoch:0, batch:151]	 [loss:0.8957380]	 [lr:0.0050000]
[epoch:0, batch:152]	 [loss:0.8946511]	 [lr:0.0050000]
[epoch:0, batch:153]	 [loss:0.8987307]	 [lr:0.0050000]
[epoch:0, batch:154]	 [loss:0.8956168]	 [lr:0.0050000]
[epoch:0, batch:155]	 [loss:0.8943039]	 [lr:0.0050000]
[epoch:0, batch:156]	 [loss:0.8916704]	 [lr:0.0050000]
[epoch:0, batch:157]	 [loss:0.8938028]	 [lr:0.0050000]
[epoch:0, batch:158]	 [loss:0.9010140]	 [lr:0.0050000]
[epoch:0, batch:159]	 [loss:0.9221991]	 [lr:0.0050000]
[epoch:0, batch:160]	 [loss:0.9066481]	 [lr:0.0050000]
[epoch:0, batch:161]	 [loss:0.8964355]	 [lr:0.0050000]
[epoch:0, batch:162]	 [loss:0.8949918]	 [lr:0.0050000]
[epoch:0, batch:163]	 [loss:0.9196892]	 [lr:0.0050000]
[epoch:0, batch:164]	 [loss:0.8933333]	 [lr:0.0050000]
[epoch:0, batch:165]	 [loss:0.8998682]	 [lr:0.0050000]
[epoch:0, batch:166]	 [loss:0.8938427]	 [lr:0.0050000]
[epoch:0, batch:167]	 [loss:0.8948960]	 [lr:0.0050000]
[epoch:0, batch:168]	 [loss:0.8933625]	 [lr:0.0050000]
[epoch:0, batch:169]	 [loss:0.8913590]	 [lr:0.0050000]
[epoch:0, batch:170]	 [loss:0.8940403]	 [lr:0.0050000]
[epoch:0, batch:171]	 [loss:0.8950132]	 [lr:0.0050000]
[epoch:0, batch:172]	 [loss:0.8950933]	 [lr:0.0050000]
[epoch:0, batch:173]	 [loss:0.8941031]	 [lr:0.0050000]
[epoch:0, batch:174]	 [loss:0.8970861]	 [lr:0.0050000]
[epoch:0, batch:175]	 [loss:0.8968952]	 [lr:0.0050000]
[epoch:0, batch:176]	 [loss:0.8985705]	 [lr:0.0050000]
[epoch:0, batch:177]	 [loss:0.9049997]	 [lr:0.0050000]
[epoch:0, batch:178]	 [loss:0.8920571]	 [lr:0.0050000]
[epoch:0, batch:179]	 [loss:0.8956755]	 [lr:0.0050000]
[epoch:0, batch:180]	 [loss:0.9002299]	 [lr:0.0050000]
[epoch:0, batch:181]	 [loss:0.8941975]	 [lr:0.0050000]
[epoch:0, batch:182]	 [loss:0.9019966]	 [lr:0.0050000]
[epoch:0, batch:183]	 [loss:0.8965175]	 [lr:0.0050000]
[epoch:0, batch:184]	 [loss:0.8947285]	 [lr:0.0050000]
[epoch:0, batch:185]	 [loss:0.9069245]	 [lr:0.0050000]
[epoch:0, batch:186]	 [loss:0.8932005]	 [lr:0.0050000]
[epoch:0, batch:187]	 [loss:0.8897602]	 [lr:0.0050000]
[epoch:0, batch:188]	 [loss:0.8905538]	 [lr:0.0050000]
[epoch:0, batch:189]	 [loss:0.8908194]	 [lr:0.0050000]
[epoch:0, batch:190]	 [loss:0.9387814]	 [lr:0.0050000]
[epoch:0, batch:191]	 [loss:0.8914759]	 [lr:0.0050000]
[epoch:0, batch:192]	 [loss:0.9068686]	 [lr:0.0050000]
